NCBI_Accession	Directory_Name	Species	Common_Name
GCA_013399795.1	Zosterops_hypoxanthus__Bismarck_white_eye__HLzosHyp1__GCA_013399795.1	Zosterops hypoxanthus	Bismarck white eye
GCA_017612475.1	Zosterops_japonicus__Japanese_white-eye__HLzosJap1__GCA_017612475.1	Zosterops japonicus	Japanese white-eye
GCA_965231275.1	Zosterops_lateralis__Silver-eye__HLzosLate2A__GCA_965231275.1	Zosterops lateralis	Silver-eye
GCA_007556475.1	Zosterops_pallidus__pale_white-eye__HLzosPal1__GCA_007556475.1	Zosterops pallidus	pale white-eye
GCA_001281735.1	Zosterops_lateralis_melanops__silver-eye__HLzosLat1__GCA_001281735.1	Zosterops lateralis melanops	silver-eye
GCF_047495875.1	Pithys_albifrons_albifrons__White-plumed_antbird__HLpitAlbiAlb1__GCF_047495875.1	Pithys albifrons albifrons	White-plumed antbird
GCA_013398505.1	Rhegmatorhina_hoffmannsi__white-breasted_antbird__HLrheHof1__GCA_013398505.1	Rhegmatorhina hoffmannsi	white-breasted antbird
GCA_013396695.1	Sakesphorus_luctuosus__Glossy_antshrike__HLsakLuc1__GCA_013396695.1	Sakesphorus luctuosus	Glossy antshrike
GCA_045364795.1	Willisornis_vidua__Xingu_scale-backed_antbird__HLwilVidu2__GCA_045364795.1	Willisornis vidua	Xingu scale-backed antbird
GCA_021164005.1	Willisornis_vidua_nigrigula__Xingu_scale-backed_antbird__HLwilVidNig1__GCA_021164005.1	Willisornis vidua nigrigula	Xingu scale-backed antbird
GCA_901933205.1	Camarhynchus_parvulus__Small_tree_finch__HLcamPar1__GCA_901933205.1	Camarhynchus parvulus	Small tree finch
GCA_019023105.1	Diglossa_brunneiventris__black-throated_flowerpiercer__HLdigBru1__GCA_019023105.1	Diglossa brunneiventris	black-throated flowerpiercer
GCF_000277835.1	Geospiza_fortis__medium_ground-finch__geoFor1__GCF_000277835.1	Geospiza fortis	medium ground-finch
GCA_013398715.1	Nesospiza_acunhae__Inaccessible_Island_finch__HLnesAcu1__GCA_013398715.1	Nesospiza acunhae	Inaccessible Island finch
GCA_013396575.1	Rhodinocichla_rosea__Rosy_thrush_tanager__HLrhoRos1__GCA_013396575.1	Rhodinocichla rosea	Rosy thrush tanager
GCA_002167245.1	Sporophila_hypoxantha__tawny-bellied_seedeater__HLspoHyp1__GCA_002167245.1	Sporophila hypoxantha	tawny-bellied seedeater
GCA_053841595.1	Sporophila_iberaensis__Ibera_seedeater__HLspoIber1__GCA_053841595.1	Sporophila iberaensis	Ibera seedeater
