NCBI_Accession	Directory_Name	Species	Common_Name
GCA_907164435.1	Acomys_dimidiatus__Eastern_spiny_mouse__HLacoDim1__GCA_907164435.1	Acomys dimidiatus	Eastern spiny mouse
GCA_907164505.1	Acomys_kempi__Kemps_spiny_mouse__HLacoKem1__GCA_907164505.1	Acomys kempi	Kemps spiny mouse
GCA_964271855.1	Acomys_minous__Crete_spiny_mouse__HLacoMin1__GCA_964271855.1	Acomys minous	Crete spiny mouse
GCA_907169655.1	Acomys_percivali__Percivals_spiny_mouse__HLacoPer1__GCA_907169655.1	Acomys percivali	Percivals spiny mouse
GCA_903995435.1	Acomys_russatus__golden_spiny_mouse__HLacoRus1__GCA_903995435.1	Acomys russatus	golden spiny mouse
GCA_036365155.1	Meriones_psammophilus__Rodents__HLmerPsa1__GCA_036365155.1	Meriones psammophilus	Rodents
GCF_030254825.1	Meriones_unguiculatus__Mongolian_gerbil__HLmerUng2__GCF_030254825.1	Meriones unguiculatus	Mongolian gerbil
DNA Zoo Consortium	Pachyuromys_duprasi__fat-tailed_gerbil__HLpacDup1	Pachyuromys duprasi	fat-tailed gerbil
GCA_002215935.2	Psammomys_obesus__fat_sand_rat__HLpsaObe1__GCA_002215935.2	Psammomys obesus	fat sand rat
GCA_010120015.1	Rhombomys_opimus__great_gerbil__HLrhoOpi1__GCA_010120015.1	Rhombomys opimus	great gerbil
GCA_907164525.1	Lophiomys_imhausi__crested_rat__HLlopImh1__GCA_907164525.1	Lophiomys imhausi	crested rat
GCA_019843815.1	Montemys_delectorum__delectable_soft-furred_mouse__HLpraDel1__GCA_019843815.1	Montemys delectorum	delectable soft-furred mouse
GCA_964023405.1	Apodemus_agrarius__Eurasian_field_mouse__HLapoAgr1__GCA_964023405.1	Apodemus agrarius	Eurasian field mouse
GCA_045298715.1	Apodemus_speciosus__Large_Japanese_field_mouse__HLapoSpe1__GCA_045298715.1	Apodemus speciosus	Large Japanese field mouse
GCF_947179515.1	Apodemus_sylvaticus__European_woodmouse__HLapoSyl2__GCF_947179515.1	Apodemus sylvaticus	European woodmouse
GCA_011762505.1	Arvicanthis_niloticus__African_grass_rat__HLarvNil1__GCA_011762505.1	Arvicanthis niloticus	African grass rat
GCF_011762505.2	Arvicanthis_niloticus__Nile_rat__HLarvNilo2__GCF_011762505.2	Arvicanthis niloticus	Nile rat
GCA_004785775.1	Grammomys_surdaster__African_woodland_thicket_rat__HLgraSur1__GCA_004785775.1	Grammomys surdaster	African woodland thicket rat
DNA Zoo Consortium	Hydromys_chrysogaster__Golden-bellied_water_rat__HLhydChr1	Hydromys chrysogaster	Golden-bellied water rat
DNA Zoo Consortium	Mastacomys_fuscus__broad-toothed_rat__HLmasFus1	Mastacomys fuscus	broad-toothed rat
GCA_008632895.1	Mastomys_coucha__southern_multimammate_mouse__HLmasCou1__GCA_008632895.1	Mastomys coucha	southern multimammate mouse
GCA_963924665.1	Micromys_minutus__European_harvest_mouse__HLmicMin1__GCA_963924665.1	Micromys minutus	European harvest mouse
GCA_900095145.2	Mus_pahari__shrew_mouse__HLmusPah1__GCA_900095145.2	Mus pahari	shrew mouse
GCA_900094665.2	Mus_caroli__Ryukyu_mouse__HLmusCar1__GCA_900094665.2	Mus caroli	Ryukyu mouse
GCA_949316315.1	Mus_musculus__House_mouse__HLmusMusc41__GCA_949316315.1	Mus musculus	House mouse
GCA_003336285.1	Mus_spicilegus__steppe_mouse__HLmusSpi1__GCA_003336285.1	Mus spicilegus	steppe mouse
GCA_921997135.2	Mus_spretus__Western_wild_mouse__HLmusSpr2__GCA_921997135.2	Mus spretus	Western wild mouse
GCF_000001635.20	Mus_musculus__house_mouse__mm10__GCF_000001635.20	Mus musculus	house mouse
GCF_000001635.27	Mus_musculus__house_mouse__mm39__GCF_000001635.27	Mus musculus	house mouse
GCA_921999095.1	Mus_musculus_molossinus__Japanese_wild_mouse__HLmusMusMol40__GCA_921999095.1	Mus musculus molossinus	Japanese wild mouse
GCA_902729475.2	Mus_minutoides__Southern_African_pygmy_mouse__HLmusMin1__GCA_902729475.2	Mus minutoides	Southern African pygmy mouse
DNA Zoo Consortium	Pseudomys_desertor__brown_desert_mouse__HLpseDes1	Pseudomys desertor	brown desert mouse
DNA Zoo Consortium	Pseudomys_fumeus__smoky_mouse__HLpseFum1	Pseudomys fumeus	smoky mouse
GCF_036323735.1	Rattus_norvegicus__Norway_rat__HLratNor8__GCF_036323735.1	Rattus norvegicus	Norway rat
GCA_011064425.1	Rattus_rattus__black_rat__HLratRat7__GCA_011064425.1	Rattus rattus	black rat
GCF_015227675.2	Rattus_norvegicus__Norway_rat__rn7__GCF_015227675.2	Rattus norvegicus	Norway rat
GCA_019844195.1	Rhabdomys_dilectus__mesic_four-striped_grass_rat__HLrhaDil1__GCA_019844195.1	Rhabdomys dilectus	mesic four-striped grass rat
GCA_030674055.1	Rhabdomys_pumilio__Four-striped_grass_mouse__HLrhaPum1__GCA_030674055.1	Rhabdomys pumilio	Four-striped grass mouse
GCA_019843965.1	Rhynchomys_soricoides__Mount_Data_shrew_rat__HLrhySor1__GCA_019843965.1	Rhynchomys soricoides	Mount Data shrew rat
GCA_036184385.1	Tokudaia_muenninki__Okinawa_island_spiny_rat__HLtokMue1__GCA_036184385.1	Tokudaia muenninki	Okinawa island spiny rat
GCA_027943515.1	Tokudaia_osimensis__Amami-oshima_island_spiny_rat__HLtokOsi1__GCA_027943515.1	Tokudaia osimensis	Amami-oshima island spiny rat
GCA_036184795.1	Tokudaia_tokunoshimensis__Tokunoshima_spiny_rat__HLtokTok1__GCA_036184795.1	Tokudaia tokunoshimensis	Tokunoshima spiny rat
DNA Zoo Consortium	Uromys_caudimaculatus__giant_uromys__HLuroCau1	Uromys caudimaculatus	giant uromys
DNA Zoo Consortium	Cricetomys_ansorgei__southern_giant_pouched_rat__HLcriAns1	Cricetomys ansorgei	southern giant pouched rat
GCA_004027575.1	Cricetomys_gambianus__Gambian_giant_pouched_rat__HLcriGam1__GCA_004027575.1	Cricetomys gambianus	Gambian giant pouched rat
GCA_023101885.1	Typhlomys_cinereus__Soft-furred_tree_mouse__HLtypCin1__GCA_023101885.1	Typhlomys cinereus	Soft-furred tree mouse
GCA_035773235.1	Eospalax_fontanierii__Chinese_zokor__HLeosFon1__GCA_035773235.1	Eospalax fontanierii	Chinese zokor
GCA_049190835.1	Myospalax_aspalax__False_zokor__HLmyoAspa1__GCA_049190835.1	Myospalax aspalax	False zokor
GCA_049190895.1	Myospalax_psilurus__Transbaikal_zokor__HLmyoPsil1__GCA_049190895.1	Myospalax psilurus	Transbaikal zokor
GCA_009823505.1	Rhizomys_pruinosus__hoary_bamboo_rat__HLrhiPru1__GCA_009823505.1	Rhizomys pruinosus	hoary bamboo rat
GCF_000622305.1	Nannospalax_galili__Upper_Galilee_mountains_blind_mole_rat__nanGal1__GCF_000622305.1	Nannospalax galili	Upper Galilee mountains blind mole rat
GCA_004027875.1	Aplodontia_rufa__mountain_beaver__HLaplRuf1__GCA_004027875.1	Aplodontia rufa	mountain beaver
GCA_004027185.1	Glis_glis__Fat_dormouse__HLgliGli1__GCA_004027185.1	Glis glis	Fat dormouse
GCA_004027655.1	Graphiurus_murinus__woodland_dormouse__HLgraMur1__GCA_004027655.1	Graphiurus murinus	woodland dormouse
GCA_051143605.1	Eliomys_quercinus__garden_dormouse__HLeliQue1A__GCA_051143605.1	Eliomys quercinus	garden dormouse
GCA_051143595.1	Eliomys_quercinus__garden_dormouse__HLeliQue1B__GCA_051143595.1	Eliomys quercinus	garden dormouse
GCA_004027005.1	Muscardinus_avellanarius__hazel_dormouse__HLmusAve1__GCA_004027005.1	Muscardinus avellanarius	hazel dormouse
GCA_963383645.1	Muscardinus_avellanarius__Hazel_dormouse__HLmusAvel2__GCA_963383645.1	Muscardinus avellanarius	Hazel dormouse
GCA_020662805.1	Glaucomys_volans__southern_flying_squirrel__HLglaVol1__GCA_020662805.1	Glaucomys volans	southern flying squirrel
GCA_051107445.1	Pteromys_volans__Siberian_flying_squirrel__HLpteVola1__GCA_051107445.1	Pteromys volans	Siberian flying squirrel
GCA_020004445.1	Sciurus_carolinensis__gray_squirrel__HLneoCar1__GCA_020004445.1	Sciurus carolinensis	gray squirrel
GCA_902686445.1	Sciurus_carolinensis__gray_squirrel__HLsciCar1__GCA_902686445.1	Sciurus carolinensis	gray squirrel
GCA_020740815.1	Sciurus_niger__fox_squirrel__HLsciNig1__GCA_020740815.1	Sciurus niger	fox squirrel
GCA_902686455.1	Sciurus_vulgaris__Eurasian_red_squirrel__HLsciVul1__GCA_902686455.1	Sciurus vulgaris	Eurasian red squirrel
GCA_057657825.1	Tamiasciurus_hudsonicus__American_red_squirrel__HLtamHuds1__GCA_057657825.1	Tamiasciurus hudsonicus	American red squirrel
GCA_048772815.1	Callospermophilus_lateralis__Golden-mantled_ground_squirrel__HLcalLat1A__GCA_048772815.1	Callospermophilus lateralis	Golden-mantled ground squirrel
GCA_048772825.1	Callospermophilus_lateralis__Golden-mantled_ground_squirrel__HLcalLat1B__GCA_048772825.1	Callospermophilus lateralis	Golden-mantled ground squirrel
GCA_011316645.1	Cynomys_gunnisoni__Gunnisons_prairie_dog__HLcynGun1__GCA_011316645.1	Cynomys gunnisoni	Gunnisons prairie dog
GCA_052576455.1	Cynomys_ludovicianus__Black-tailed_prairie_dog__HLcynLudo1__GCA_052576455.1	Cynomys ludovicianus	Black-tailed prairie dog
GCF_016881025.1	Ictidomys_tridecemlineatus__thirteen-lined_ground_squirrel__HLictTri2__GCF_016881025.1	Ictidomys tridecemlineatus	thirteen-lined ground squirrel
GCA_052094955.1	Ictidomys_tridecemlineatus__Thirteen-lined_ground_squirrel__HLictTrid4A__GCA_052094955.1	Ictidomys tridecemlineatus	Thirteen-lined ground squirrel
GCA_052094965.1	Ictidomys_tridecemlineatus__Thirteen-lined_ground_squirrel__HLictTrid4B__GCA_052094965.1	Ictidomys tridecemlineatus	Thirteen-lined ground squirrel
GCA_003676075.2	Marmota_flaviventris__yellow-bellied_marmot__HLmarFla1__GCA_003676075.2	Marmota flaviventris	yellow-bellied marmot
GCF_047511675.1	Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2A__GCF_047511675.1	Marmota flaviventris	Yellow-bellied marmot
GCA_047512175.1	Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2B__GCA_047512175.1	Marmota flaviventris	Yellow-bellied marmot
GCA_005280165.1	Marmota_himalayana__Himalayan_marmot__HLmarHim1__GCA_005280165.1	Marmota himalayana	Himalayan marmot
GCA_056512325.1	Marmota_himalayana__Himalayan_marmot__HLmarHima2__GCA_056512325.1	Marmota himalayana	Himalayan marmot
GCA_021218885.1	Marmota_monax__woodchuck__HLmarMon3__GCA_021218885.1	Marmota monax	woodchuck
GCA_005458795.1	Marmota_vancouverensis__Vancouver_marmot__HLmarVan1__GCA_005458795.1	Marmota vancouverensis	Vancouver marmot
GCA_040207255.1	Marmota_vancouverensis__Vancouver_Island_marmot__HLmarVanc2__GCA_040207255.1	Marmota vancouverensis	Vancouver Island marmot
GCA_001458135.1	Marmota_marmota_marmota__Alpine_marmot__HLmarMar1__GCA_001458135.1	Marmota marmota marmota	Alpine marmot
GCA_051821045.1	Otospermophilus_beecheyi__California_ground_squirrel__HLotoBeec1__GCA_051821045.1	Otospermophilus beecheyi	California ground squirrel
GCA_964194105.1	Spermophilus_citellus__European_suslik__HLspeCit1__GCA_964194105.1	Spermophilus citellus	European suslik
GCA_002406435.1	Spermophilus_dauricus__Daurian_ground_squirrel__HLspeDau1__GCA_002406435.1	Spermophilus dauricus	Daurian ground squirrel
GCA_025594165.1	Tamias_sibiricus__Siberian_chipmunk__HLtamSib1__GCA_025594165.1	Tamias sibiricus	Siberian chipmunk
GCA_047496905.1	Tamias_sibiricus__Siberian_chipmunk__HLtamSibi2__GCA_047496905.1	Tamias sibiricus	Siberian chipmunk
GCA_003426925.1	Urocitellus_parryii__Arctic_ground_squirrel__HLuroPar1__GCA_003426925.1	Urocitellus parryii	Arctic ground squirrel
GCA_045843805.1	Urocitellus_parryii__Arctic_ground_squirrel__HLuroPar2A__GCA_045843805.1	Urocitellus parryii	Arctic ground squirrel
GCA_045843765.1	Urocitellus_parryii__Arctic_ground_squirrel__HLuroPar2B__GCA_045843765.1	Urocitellus parryii	Arctic ground squirrel
GCA_004024805.1	Xerus_inauris__South_African_ground_squirrel__HLxerIna1__GCA_004024805.1	Xerus inauris	South African ground squirrel
GCA_028644305.1	Xerus_rutilus__unstriped_ground_squirrel__HLxerRut1__GCA_028644305.1	Xerus rutilus	unstriped ground squirrel
DNA Zoo Consortium	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	Allenopithecus nigroviridis	Allens swamp monkey
GCF_000955945.1	Cercocebus_atys__sooty_mangabey__cerAty1__GCF_000955945.1	Cercocebus atys	sooty mangabey
GCA_023783535.1	Cercopithecus_albogularis__Sykes_monkey__HLcerAlb1__GCA_023783535.1	Cercopithecus albogularis	Sykes monkey
DNA Zoo Consortium	Cercopithecus_mitis__blue_monkey__HLcerMit1	Cercopithecus mitis	blue monkey
GCA_014849445.1	Cercopithecus_mona__Mona_monkey__HLcerMon1__GCA_014849445.1	Cercopithecus mona	Mona monkey
GCA_004027615.1	Cercopithecus_neglectus__De_Brazzas_monkey__HLcerNeg1__GCA_004027615.1	Cercopithecus neglectus	De Brazzas monkey
GCA_963574685.1	Cercopithecus_neglectus__De_Brazzas_monkey__HLcerNegl2__GCA_963574685.1	Cercopithecus neglectus	De Brazzas monkey
GCA_023783515.1	Chlorocebus_aethiops__grivet__HLchlAet1__GCA_023783515.1	Chlorocebus aethiops	grivet
GCF_015252025.1	Chlorocebus_sabaeus__green_monkey__HLchlSab3__GCF_015252025.1	Chlorocebus sabaeus	green monkey
GCF_047675955.1	Chlorocebus_sabaeus__Green_monkey__HLchlSaba4A__GCF_047675955.1	Chlorocebus sabaeus	Green monkey
GCA_023783455.1	Erythrocebus_patas__red_guenon__HLeryPat3__GCA_023783455.1	Erythrocebus patas	red guenon
GCA_023783235.1	Lophocebus_aterrimus__Black_crested_mangabey__HLlopAte1__GCA_023783235.1	Lophocebus aterrimus	Black crested mangabey
GCA_021188215.1	Macaca_arctoides__stump-tailed_macaque__HLmacArc1__GCA_021188215.1	Macaca arctoides	stump-tailed macaque
GCA_023783095.1	Macaca_assamensis__Assam_macaque__HLmacAss1__GCA_023783095.1	Macaca assamensis	Assam macaque
GCA_026956025.1	Macaca_cyclopis__Taiwan_macaque__HLmacCyc1__GCA_026956025.1	Macaca cyclopis	Taiwan macaque
GCF_012559485.2	Macaca_fascicularis__crab-eating_macaque__HLmacFas7__GCF_012559485.2	Macaca fascicularis	crab-eating macaque
GCF_037993035.1	Macaca_fascicularis__Crab-eating_macaque__HLmacFas8__GCF_037993035.1	Macaca fascicularis	Crab-eating macaque
DNA Zoo Consortium	Macaca_fuscata__Japanese_macaque__HLmacFus1	Macaca fuscata	Japanese macaque
GCF_049350105.2	Macaca_mulatta__Rhesus_monkey__HLmacMula11__GCF_049350105.2	Macaca mulatta	Rhesus monkey
GCF_043159975.1	Macaca_nemestrina__Pig-tailed_macaque__HLmacNeme2A__GCF_043159975.1	Macaca nemestrina	Pig-tailed macaque
GCA_928851695.1	Macaca_nigra__Celebes_crested_macaque__HLmacNir1__GCA_928851695.1	Macaca nigra	Celebes crested macaque
GCA_023807365.1	Macaca_silenus__liontail_macaque__HLmacSil1__GCA_023807365.1	Macaca silenus	liontail macaque
GCF_000956065.1	Macaca_nemestrina__pig-tailed_macaque__macNem1__GCF_000956065.1	Macaca nemestrina	pig-tailed macaque
GCF_003339765.1	Macaca_mulatta__Rhesus_monkey__rheMac10__GCF_003339765.1	Macaca mulatta	Rhesus monkey
GCF_024542745.1	Macaca_thibetana_thibetana__Pere_Davids_macaque__HLmacThiThi1__GCF_024542745.1	Macaca thibetana thibetana	Pere Davids macaque
GCA_023783495.1	Mandrillus_leucophaeus__drill__HLmanLeu2__GCA_023783495.1	Mandrillus leucophaeus	drill
DNA Zoo Consortium	Mandrillus_sphinx__mandrill__HLmanSph2	Mandrillus sphinx	mandrill
GCA_023783085.1	Mandrillus_sphinx__mandrill__HLmanSph3__GCA_023783085.1	Mandrillus sphinx	mandrill
DNA Zoo Consortium	Miopithecus_talapoin__talapoin__HLmioTal1	Miopithecus talapoin	talapoin
GCA_008728515.1	Papio_anubis__olive_baboon__HLpapAnu5__GCA_008728515.1	Papio anubis	olive baboon
GCA_008728515.2	Papio_anubis__olive_baboon__HLpapAnu6__GCA_008728515.2	Papio anubis	olive baboon
GCA_023781915.1	Papio_hamadryas__hamadryas_baboon__HLpapHam2__GCA_023781915.1	Papio hamadryas	hamadryas baboon
DNA Zoo Consortium	Papio_papio__Guinea_baboon__HLpapPap1	Papio papio	Guinea baboon
GCA_003255815.1	Theropithecus_gelada__gelada__HLtheGel1__GCA_003255815.1	Theropithecus gelada	gelada
GCA_021498455.1	Colobus_guereza__mantled_guereza__HLcolGue1__GCA_021498455.1	Colobus guereza	mantled guereza
GCA_030247045.1	Colobus_guereza__Mantled_guereza__HLcolGuer2__GCA_030247045.1	Colobus guereza	Mantled guereza
GCF_000951035.1	Colobus_angolensis_palliatus__Angolan_colobus__colAng1__GCF_000951035.1	Colobus angolensis palliatus	Angolan colobus
GCA_047834645.1	Nasalis_larvatus__Proboscis_monkey__HLnasLarv2__GCA_047834645.1	Nasalis larvatus	Proboscis monkey
GCA_000772465.1	Nasalis_larvatus__proboscis_monkey__nasLar1__GCA_000772465.1	Nasalis larvatus	proboscis monkey
GCA_002776525.3	Piliocolobus_tephrosceles__Ugandan_red_Colobus__HLpilTep2__GCA_002776525.3	Piliocolobus tephrosceles	Ugandan red Colobus
GCA_004024825.1	Pygathrix_nemaeus__Red_shanked_douc_langur__HLpygNem1__GCA_004024825.1	Pygathrix nemaeus	Red shanked douc langur
GCA_023764695.1	Pygathrix_nigripes__Black-shanked_douc_langur__HLpygNig1__GCA_023764695.1	Pygathrix nigripes	Black-shanked douc langur
https://ngdc.cncb.ac.cn/gwh/Assembly/24510/show	Rhinopithecus_bieti__Black-and-white_snub-nosed_monkey__HLrhiBiet3	Rhinopithecus bieti	Black-and-white snub-nosed monkey
GCA_007565055.1	Rhinopithecus_roxellana__golden_snub-nosed_monkey__HLrhiRox2__GCA_007565055.1	Rhinopithecus roxellana	golden snub-nosed monkey
GCA_023764705.1	Rhinopithecus_strykeri__Burmese_snub-nosed_monkey__HLrhiStr1__GCA_023764705.1	Rhinopithecus strykeri	Burmese snub-nosed monkey
GCF_001698545.1	Rhinopithecus_bieti__black_snub-nosed_monkey__rhiBie1__GCF_001698545.1	Rhinopithecus bieti	black snub-nosed monkey
GCA_004025065.1	Semnopithecus_entellus__Hanuman_langur__HLsemEnt1__GCA_004025065.1	Semnopithecus entellus	Hanuman langur
GCA_009764315.1	Trachypithecus_francoisi__Francoiss_langur__HLtraFra1__GCA_009764315.1	Trachypithecus francoisi	Francoiss langur
GCA_047047975.1	Trachypithecus_germaini__Indochinese_lutung__HLtraGer1__GCA_047047975.1	Trachypithecus germaini	Indochinese lutung
GCA_054345695.1	Trachypithecus_shortridgei__Shortridges_langur__HLtraShor1__GCA_054345695.1	Trachypithecus shortridgei	Shortridges langur
GCA_023762245.1	Trachypithecus_phayrei_crepuscula__Phayres_leaf_monkey__HLtraPhaCre1__GCA_023762245.1	Trachypithecus phayrei crepuscula	Phayres leaf monkey
GCA_963575185.1	Gorilla_beringei__Eastern_gorilla__HLgorBer1__GCA_963575185.1	Gorilla beringei	Eastern gorilla
GCA_029281585.3	Gorilla_gorilla__western_gorilla__HLgorGor7__GCA_029281585.3	Gorilla gorilla	western gorilla
GCF_008122165.1	Gorilla_gorilla_gorilla__western_lowland_gorilla__gorGor6__GCF_008122165.1	Gorilla gorilla gorilla	western lowland gorilla
GCF_000001405.38	Homo_sapiens__human__hg38__GCF_000001405.38	Homo sapiens	human
GCA_029289425.3	Pan_paniscus__pygmy_chimpanzee__HLpanPan4__GCA_029289425.3	Pan paniscus	pygmy chimpanzee
GCA_028858775.2	Pan_troglodytes__chimpanzee__HLpanTro7__GCA_028858775.2	Pan troglodytes	chimpanzee
GCF_002880755.1	Pan_troglodytes__chimpanzee__panTro6__GCF_002880755.1	Pan troglodytes	chimpanzee
GCA_028885655.2	Pongo_abelii__Sumatran_orangutan__HLponAbe4__GCA_028885655.2	Pongo abelii	Sumatran orangutan
GCA_023767775.1	Pongo_pygmaeus__Bornean_orangutan__HLponPyg1__GCA_023767775.1	Pongo pygmaeus	Bornean orangutan
GCA_028885625.2	Pongo_pygmaeus__Bornean_orangutan__HLponPyg2__GCA_028885625.2	Pongo pygmaeus	Bornean orangutan
GCF_002880775.1	Pongo_abelii__Sumatran_orangutan__ponAbe3__GCF_002880775.1	Pongo abelii	Sumatran orangutan
GCA_023748175.1	Hoolock_leuconedys__eastern_hoolock_gibbon__HLhooLeu1__GCA_023748175.1	Hoolock leuconedys	eastern hoolock gibbon
DNA Zoo Consortium	Hylobates_agilis__agile_gibbon__HLhylAgi1	Hylobates agilis	agile gibbon
GCA_009828535.2	Hylobates_moloch__silvery_gibbon__HLhylMol2__GCA_009828535.2	Hylobates moloch	silvery gibbon
GCA_021498465.1	Hylobates_pileatus__pileated_gibbon__HLhylPil1__GCA_021498465.1	Hylobates pileatus	pileated gibbon
GCA_006542625.1	Nomascus_leucogenys__northern_white-cheeked_gibbon__HLnomLeu4__GCA_006542625.1	Nomascus leucogenys	northern white-cheeked gibbon
GCA_040113115.1	Nomascus_leucogenys__Northern_white-cheeked_gibbon__HLnomLeuc5__GCA_040113115.1	Nomascus leucogenys	Northern white-cheeked gibbon
GCA_023783065.1	Nomascus_siki__southern_white-cheeked_gibbon__HLnomSik1__GCA_023783065.1	Nomascus siki	southern white-cheeked gibbon
GCF_028878055.1	Symphalangus_syndactylus__siamang__HLsymSyn3__GCF_028878055.1	Symphalangus syndactylus	siamang
GCA_028878055.3	Symphalangus_syndactylus__siamang__HLsymSyn4__GCA_028878055.3	Symphalangus syndactylus	siamang
GCF_000952055.2	Aotus_nancymaae__Mas_night_monkey__aotNan1__GCF_000952055.2	Aotus nancymaae	Mas night monkey
GCA_963575295.1	Alouatta_caraya__Black_howler_monkey__HLaloCara1__GCA_963575295.1	Alouatta caraya	Black howler monkey
GCA_004027835.1	Alouatta_palliata__mantled_howler_monkey__HLaloPal1__GCA_004027835.1	Alouatta palliata	mantled howler monkey
GCA_963573605.1	Ateles_belzebuth__White-bellied_spider_monkey__HLateBel1__GCA_963573605.1	Ateles belzebuth	White-bellied spider monkey
GCA_963574935.1	Ateles_chamek__Black_spider_monkey__HLateCha1__GCA_963574935.1	Ateles chamek	Black spider monkey
GCA_036589455.2	Ateles_fusciceps__Brown-headed_spider_monkey__HLateFus1__GCA_036589455.2	Ateles fusciceps	Brown-headed spider monkey
GCA_004024785.1	Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo1__GCA_004024785.1	Ateles geoffroyi	black-handed spider monkey
GCA_023783555.1	Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo2__GCA_023783555.1	Ateles geoffroyi	black-handed spider monkey
GCA_916098195.1	Ateles_hybridus__brown_spider_monkey__HLateHyb1__GCA_916098195.1	Ateles hybridus	brown spider monkey
GCA_963573555.1	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1__GCA_963573555.1	Ateles marginatus	White-cheeked spider monkey
GCA_963573985.1	Ateles_paniscus__Red-faced_black_spider_monkey__HLatePan1__GCA_963573985.1	Ateles paniscus	Red-faced black spider monkey
GCA_047496155.1	Brachyteles_arachnoides__Woolly_spider_monkey__HLbraAra1__GCA_047496155.1	Brachyteles arachnoides	Woolly spider monkey
GCA_049997475.1	Brachyteles_hypoxanthus__Northern_muriqui__HLbraHypo1__GCA_049997475.1	Brachyteles hypoxanthus	Northern muriqui
GCA_963574225.1	Lagothrix_lagotricha__Brown_woolly_monkey__HLlagLag1__GCA_963574225.1	Lagothrix lagotricha	Brown woolly monkey
DNA Zoo Consortium	Callimico_goeldii__Goeldis_marmoset__HLcalGoe1	Callimico goeldii	Goeldis marmoset
GCF_011100555.1	Callithrix_jacchus__white-tufted-ear_marmoset__HLcalJac5__GCF_011100555.1	Callithrix jacchus	white-tufted-ear marmoset
GCA_049354715.1	Callithrix_jacchus__White-tufted-ear_marmoset__HLcalJacc6__GCA_049354715.1	Callithrix jacchus	White-tufted-ear marmoset
GCA_046862485.1	Callithrix_penicillata__Black-pencilled_marmoset__HLcalPen1__GCA_046862485.1	Callithrix penicillata	Black-pencilled marmoset
GCF_009663435.1	Callithrix_jacchus__white-tufted-ear_marmoset__calJac4__GCF_009663435.1	Callithrix jacchus	white-tufted-ear marmoset
DNA Zoo Consortium	Cebuella_pygmaea__pygmy_marmoset__HLcalPym1	Cebuella pygmaea	pygmy marmoset
DNA Zoo Consortium	Leontopithecus_chrysomelas__golden-headed_lion_tamarin__HLleoChr1	Leontopithecus chrysomelas	golden-headed lion tamarin
DNA Zoo Consortium	Leontopithecus_rosalia__golden_lion_tamarin__HLleoRos1	Leontopithecus rosalia	golden lion tamarin
GCA_054824895.1	Leontopithecus_rosalia__Golden_lion_tamarin__HLleoRosa2A__GCA_054824895.1	Leontopithecus rosalia	Golden lion tamarin
GCA_004024885.1	Saguinus_imperator__tamarin__HLsagImp1__GCA_004024885.1	Saguinus imperator	tamarin
GCA_021498475.1	Saguinus_midas__Midas_tamarin__HLsagMid1__GCA_021498475.1	Saguinus midas	Midas tamarin
GCA_031835075.1	Saguinus_oedipus__Cotton-top_tamarin__HLsagOed1__GCA_031835075.1	Saguinus oedipus	Cotton-top tamarin
GCA_023783575.1	Cebus_albifrons__white-fronted_capuchin__HLcebAlb2__GCA_023783575.1	Cebus albifrons	white-fronted capuchin
GCF_001604975.1	Cebus_imitator__white-faced_sapajou__cebCap1__GCF_001604975.1	Cebus imitator	white-faced sapajou
GCA_009761245.1	Sapajus_apella__Tufted_capuchin__HLsapApe1__GCA_009761245.1	Sapajus apella	Tufted capuchin
GCA_023762875.2	Sapajus_apella__tufted_capuchin__HLsapApe3__GCA_023762875.2	Sapajus apella	tufted capuchin
GCA_048565385.1	Saimiri_boliviensis__Bolivian_squirrel_monkey__HLsaiBoli4__GCA_048565385.1	Saimiri boliviensis	Bolivian squirrel monkey
GCA_963573345.1	Saimiri_sciureus__Common_squirrel_monkey__HLsaiSci1__GCA_963573345.1	Saimiri sciureus	Common squirrel monkey
GCF_016699345.1	Saimiri_boliviensis_boliviensis__Bolivian_squirrel_monkey__HLsaiBolBol2__GCF_016699345.1	Saimiri boliviensis boliviensis	Bolivian squirrel monkey
GCF_016699345.2	Saimiri_boliviensis_boliviensis__Bolivian_squirrel_monkey__HLsaiBolBol3__GCF_016699345.2	Saimiri boliviensis boliviensis	Bolivian squirrel monkey
GCA_963573755.1	Cheracebus_lucifer__Primates__HLcheLuc1__GCA_963573755.1	Cheracebus lucifer	Primates
GCA_963574535.1	Cheracebus_lugens__Black_titi__HLcheLug1__GCA_963574535.1	Cheracebus lugens	Black titi
GCA_963574635.1	Cheracebus_regulus__Jurua_collared_titi__HLcheReg1__GCA_963574635.1	Cheracebus regulus	Jurua collared titi
GCA_963574645.1	Cheracebus_torquatus__Collared_titi__HLcheTor1__GCA_963574645.1	Cheracebus torquatus	Collared titi
GCA_963574705.1	Plecturocebus_bernhardi__Prince_Bernhards_titi__HLpleBer1__GCA_963574705.1	Plecturocebus bernhardi	Prince Bernhards titi
GCA_963573885.1	Plecturocebus_brunneus__Brown_titi__HLpleBru1__GCA_963573885.1	Plecturocebus brunneus	Brown titi
